State_Name,City,"Round(AVG(Mean),1)","Round(AVG(Median),1)"
Massachusetts,Franklin,141997.7,199262
Alabama,"Mountain Brook",141936,202266.5
"New York","Garden City",141931.3,234681.3
Maryland,Jarrettsville,141908,300000
Massachusetts,Needham,141800,195669
Virginia,Hamilton,141791,133062
Illinois,Wilmette,141746,168690.7
Pennsylvania,Ardmore,141529.3,217328
California,Kensington,141291,300000
"New York","Port Jefferson",141238,300000
Minnesota,"Lake Elmo",141151,300000
"New York","Sleepy Hollow",140967,300000
"New York","Saint James",140932,138770
Maryland,"Mount Airy",140930,300000
Kentucky,Jeffersonville,140806,300000
Wisconsin,Brookfield,140768,193775
Pennsylvania,Landenberg,140766,215696.5
California,Agoura,140704,300000
"New York",Cedarhurst,140511,300000
Pennsylvania,Yardley,140470.5,144981.5
Minnesota,Chanhassen,140455,126689
Connecticut,Monroe,140361,146463.5
Massachusetts,"Newton Centre",140254.3,259501.7
"New York","West Sayville",140202,136578
Missouri,"Dardenne Prairie",140172,300000
California,"Stevenson Ranch",140115,195398
"North Carolina",Davidson,140057,142838
Massachusetts,Lynnfield,139750,133318
"New York",Wantagh,139654.3,239402
Massachusetts,Sharon,139553,300000
"New Jersey","West Windsor",139539,163638
"New York",Cornwall,139524,135978
Texas,Aledo,139380.5,138240.5
California,"Ladera Ranch",139229.2,127816
Maryland,Kensington,139171.2,141540
Georgia,Milton,138867,300000
Pennsylvania,Venetia,138552,135628
Illinois,Northbrook,138516.5,163148.2
"New Jersey","Park Ridge",138493,129541.5
Virginia,Burke,138469,175094.5
"New Jersey",Ocean,138378,137576
Minnesota,Minnetrista,138355,300000
"New Jersey","Red Bank",138269.5,300000
Maryland,Millersville,138100.3,237010.3
Connecticut,"Sandy Hook",138007,119969
"New York",Irvington,137888,125244
California,"Oak Park",137752,139099
"New York","North Salem",137645,300000
Connecticut,Simsbury,137616,139057
Colorado,Monument,137560,300000
California,"Pacific Palisades",137489,138617.5
"New Jersey","New Providence",137386,118134
Pennsylvania,Jenkintown,137309,126825
Pennsylvania,Bridgeport,137239,122480
Virginia,Vienna,137181,185935.6
"New Jersey","Port Monmouth",137128,138087
Pennsylvania,Orefield,137092,127785
California,"Yorba Linda",137065.5,300000
Utah,Highland,136964.5,137501.5
Virginia,Herndon,136894.2,255279.1
Massachusetts,Shrewsbury,136849,300000
"New Jersey","Woodcliff Lake",136839,133588
Massachusetts,Bedford,136709,122331
California,Topanga,136693,300000
Kansas,Shawnee,136646.5,128450
Massachusetts,Concord,136270,230164.5
"New York",Merrick,136081,119820
"New Jersey",Teaneck,136068.2,223628.2
Pennsylvania,Muse,135995,133545
Michigan,"Bloomfield Hills",135910.5,123833.2
"New Jersey",Brielle,135838.5,130313.5
Connecticut,Tolland,135825,300000
"New York","South Salem",135718.5,217008.5
Utah,"South Weber",135672,134935
Kansas,Leawood,135651.5,124920.5
Ohio,"Pepper Pike",135426,300000
Maryland,Monrovia,135358,300000
"New York",Smithtown,135045,300000
Virginia,Fairfax,134946,200121.3
"New Jersey",Bernardsville,134879,120693
"New York","Old Westbury",134755.5,133122.5
Virginia,Sterling,134729.2,189364.5
Pennsylvania,Warrington,134721,119770
"New Jersey",Metuchen,134666.5,205176
Kentucky,Simpsonville,134599,300000
Florida,"Palmetto Bay",134489.3,174424.3
"New Jersey",Watchung,134247,112658
Ohio,"Olmsted Falls",134124,126545
Texas,Murphy,133859,208407.5
Texas,Prosper,133798.5,127641
"New York",Hauppauge,133645.5,216610.5
"New Jersey",Hoboken,133515,147790.8
Massachusetts,Stow,133513.5,135560.5
"New Jersey",Summit,133450.5,138206.5
Alaska,Chugiak,133300,300000
Washington,Redmond,133288.9,194882.6
Virginia,Moseley,133213,131598
Massachusetts,"East Walpole",133200,114549
Massachusetts,Milton,132958.5,300000
"New York",Poughquag,132844,300000
Massachusetts,Canton,132835.5,115347
"New Jersey",Morristown,132833.2,134029.8
California,"Granite Bay",132808,126823
Maryland,Woodbine,132561,214459.5
California,"Hermosa Beach",132479,117114
"New Jersey",Lebanon,132461,123170
Pennsylvania,"Lafayette Hill",132413.5,126563
Massachusetts,Duxbury,132395,119460.5
Georgia,"Johns Creek",132371,125949.5
Massachusetts,Wenham,132348,300000
Massachusetts,"West Newbury",132284,300000
Illinois,"Lake Zurich",132090.8,120473
"Rhode Island",Barrington,131964.5,192257.5
Pennsylvania,"Elkins Park",131911,131032
Pennsylvania,"Blue Bell",131882.5,300000
"New York","East Rockaway",131863.5,196816
"South Carolina",Charlotte,131786,300000
California,"Palo Alto",131706.1,151176.2
Connecticut,Greenwich,131658.6,125726
Ohio,Galena,131494,129598
"New York",Eastchester,131455.5,135648.5
"New Jersey","Green Brook",131339,300000
Illinois,Geneva,131237,130734
California,"Del Mar",131231,128207
Massachusetts,Lakeville,131209,132817
Utah,Draper,131085,300000
"New Jersey",Jamesburg,130971,125822
"New York","Stony Point",130934,300000
Michigan,"Huntington Woods",130922,118436
"New York",Pittsford,130820,111452
Tennessee,"Lookout Mtn",130813,119866
Massachusetts,Dunstable,130749,300000
"New Jersey",Englishtown,130694.5,210608.5
"New Jersey","Saddle River",130663,116062
Massachusetts,Topsfield,130593.5,300000
Massachusetts,Newtonville,130485,123287
Washington,Carnation,130437.5,300000
