State_Name,City,"Round(AVG(Mean),1)","Round(AVG(Median),1)"
Illinois,Lisle,84719.3,132649.7
Iowa,Hinton,84712.5,74257.5
Ohio,Hebron,84710,61175
California,"Nevada City",84697,73012
Texas,Crowley,84690.3,214226
Maryland,Lanham,84676.5,74459.5
"North Carolina",Clemmons,84668.2,71534.2
"North Dakota",Ellendale,84668,79447
Michigan,"Rochester Hills",84666.8,99036.1
"New York",Poughkeepsie,84651.5,179535.2
California,Tracy,84638.9,73754.1
California,"Mission Hills",84635,300000
Texas,"Round Top",84620,56665
Illinois,Bartelso,84618,83031
Hawaii,Honolulu,84614,109976.5
Pennsylvania,Dover,84590,72047
Wisconsin,"Oak Creek",84579.8,74752.8
Alaska,"Larsen Bay",84545,80106
Illinois,Beecher,84528,66962
Pennsylvania,Langhorne,84514.6,159283
Indiana,Springville,84469.5,177688
Ohio,"Rocky River",84386,63985
Illinois,"West Chicago",84375.7,150174
Massachusetts,Chatham,84372,59709
Wisconsin,Plover,84348,74616
Georgia,Bishop,84343,72681
"New York",Whitestone,84329.8,134488.8
Indiana,Dyer,84288,76952
"New York",Arverne,84274.5,66938.5
Kansas,Tonganoxie,84274,75933
Wisconsin,"Big Bend",84263,71673
Indiana,Burnettsville,84247,300000
"New York","Little Neck",84246.3,144391.3
Texas,Warren,84246,86592
Michigan,Fruitport,84242,66299
Nevada,Elko,84232.2,132248.2
Wisconsin,Marshall,84184,76615
"New Hampshire",Warner,84167,69979
Indiana,"Rolling Prairie",84160,300000
Tennessee,Loudon,84149,67101
Colorado,Rangely,84145,82317
Iowa,Donahue,84138,79060
Nevada,Orovada,84119,73878
Indiana,Greenwood,84113.4,122618.6
Maryland,"Ocean City",84092,44118
Iowa,Clarence,84083,73044
California,"Redwood Valley",84082,83217
Kentucky,Burlington,84077.7,148721.3
Massachusetts,"North Weymouth",84037,68826
Virginia,Chesterfield,84026,73446.5
Massachusetts,Norton,84024,300000
Washington,Sumner,83999,181361.5
Ohio,Sunbury,83951,67152
Kentucky,Taylorsville,83950.5,72657.5
California,Sonoma,83941.7,217839
"New York","La Fargeville",83940,300000
California,"San Pedro",83938.2,157710.9
Michigan,"Royal Oak",83927,70870.2
Massachusetts,Somerset,83904,178110
Wisconsin,Lodi,83882,80649
Ohio,Galloway,83859,70106
"New York",Quogue,83855,69485
Oklahoma,Mustang,83849,78849.7
California,Covina,83829.6,136411.1
Alabama,Homewood,83769.5,67818.8
California,Shasta,83754,70582
Massachusetts,Kingston,83744,300000
Missouri,O'fallon,83741.5,111008.5
"South Carolina",Summerville,83706.4,100735.1
"New Hampshire",Derry,83690,178407.5
Texas,Converse,83680.5,80760.5
Connecticut,Berlin,83663,78424
Ohio,Brookfield,83651,82719
Missouri,"Pleasant Hill",83647,70737
Illinois,Niles,83646.5,134105.8
"New Jersey","Egg Harbor Township",83644,71287.3
Missouri,Faucett,83644,300000
Florida,"Winter Springs",83643,181655
Ohio,Holland,83621.5,71495
"New York",Marcy,83609.5,188230.5
Massachusetts,Templeton,83602,300000
Iowa,"Sergeant Bluff",83593,83003
"New York","East Moriches",83554,68340
Maine,Harpswell,83554,67564
Illinois,Romeoville,83551.5,175983
Illinois,Lansing,83550,195877
Georgia,Kathleen,83542.5,76320
"New Jersey",Neptune,83525,79241
Florida,Estero,83515.7,68674.3
Colorado,Telluride,83514,300000
Virginia,Fredericksburg,83512.4,68639.5
Connecticut,"North Stonington",83510,62301
"North Carolina",Southport,83505.8,69834
Pennsylvania,"Evans City",83503,77886
Connecticut,Lakeville,83471,300000
Virginia,Wirtz,83415,70507
"New York",Clarence,83414,64219
Michigan,Portland,83401,72945
Ohio,Pataskala,83361.5,75344.5
"New York",Brockport,83354.3,143043
Illinois,Valmeyer,83353,72604
Indiana,Zionsville,83345,73710
California,"San Leandro",83304,94280.2
Missouri,Barnhart,83284,300000
Vermont,Shelburne,83283.5,192116.5
Indiana,Rockville,83268,300000
"Rhode Island",Warren,83266.5,70454.5
Connecticut,Preston,83250,70603
California,Esparto,83250,66708
California,"Ben Lomond",83248,66165.3
Iowa,Winfield,83223,71882
California,Orcutt,83220.3,73172.3
Ohio,Arlington,83218,59455
Pennsylvania,"West Lawn",83204,69208
Pennsylvania,Perkasie,83188,70182.7
Virginia,Chesapeake,83186.2,124815.6
Indiana,Dayton,83183,73276
Nebraska,"Platte Center",83169,300000
Illinois,Highland,83166,81957
Maryland,"Park Hall",83137,79103
Colorado,Thornton,83133,148375.2
Illinois,Fisher,83131,68041
California,Downey,83078.2,124512.5
California,Tehachapi,83063,62880
"New York",Akron,83050.5,174013
Georgia,Greensboro,83026,214846.5
Arkansas,Rogers,83023.5,134266.7
Oregon,Clackamas,83022,300000
"New York",Copiague,83005,183296.5
Washington,Renton,83002.2,104815.2
Minnesota,"Fergus Falls",83002,75240
"New York",Marcellus,82992,69515
"New Jersey","Long Branch",82986.7,226235.3
Alaska,"Fritz Creek",82980,71183
Iowa,Indianola,82979,74535
Iowa,Letts,82957,79528
Pennsylvania,Atglen,82952,66790
"New Jersey",Hillside,82936.3,74222.7
Texas,Edna,82936,50552
Florida,Miramar,82926.8,96233.1
"New York",Fabius,82923,72816
"New York",Queensbury,82922,67715
Florida,Yulee,82905,70640
Tennessee,"Mt. Juliet",82891,75879
Massachusetts,Edgartown,82883,61248
Washington,Kent,82880.6,112806.8
"New Jersey",Leonardo,82880,59728
Wisconsin,"Sun Prairie",82879.2,72623
California,Imperial,82874,76449
Nebraska,Mead,82869,73717
Indiana,Brookston,82844,73395
Pennsylvania,Hereford,82844,65188
California,Arcadia,82843.6,111776
California,"Laguna Beach",82834.3,132120
"New York","Middle Island",82828,64995.5
Illinois,"Oak Forest",82793,188756.5
"North Carolina",Concord,82786.7,92162.2
Colorado,Breckenridge,82784,62896
Massachusetts,Hull,82780,300000
California,Gilroy,82760.6,66575
California,"Shingle Springs",82758,66751
Connecticut,Chaplin,82752,77421
Ohio,Waterville,82746,73551
Colorado,"New Castle",82743,75506
Massachusetts,Rockland,82704,77782
Indiana,Whitestown,82701,72919
Washington,Edison,82682,61871
"New Jersey",Absecon,82679.5,70219
Oregon,Monmouth,82678,300000
Florida,"Winter Garden",82675,61148.5
Washington,Puyallup,82667.9,130196.1
Pennsylvania,Mechanicsburg,82649.1,134962.4
Indiana,Valparaiso,82589.6,112974.2
Pennsylvania,Audubon,82577,71773
Ohio,Monroe,82565,300000
"New York",Peru,82560.5,185607
Texas,Montgomery,82554,60795.5
Pennsylvania,Mars,82535,74358.5
Missouri,"St Peters",82529.8,128012.8
Minnesota,Bloomington,82525.1,165579.1
"New York",Saranac,82523,300000
Texas,Carrollton,82515.4,128510.8
"New York",Delanson,82484,300000
Indiana,Fremont,82466.5,187822
California,Sausalito,82460.5,78990.5
Pennsylvania,Landisville,82458,70145
Iowa,"Swea City",82452.5,172659
Illinois,Montgomery,82441.5,182826.5
Georgia,Sharpsburg,82432,75154
Missouri,Peculiar,82428,76549
Florida,"Miami Shores",82413,73408
Utah,"Heber City",82402,192076.5
"New York",Hollis,82400.6,200615.6
"North Dakota",Hunter,82395,73132
California,Larkspur,82393,60197
Wisconsin,Hammond,82364,73287
Illinois,Rockton,82362,182254
"New York",Roosevelt,82338,78373.5
Texas,"Glenn Heights",82311,70782
Montana,Nye,82305,60827
California,Pasadena,82274.2,108683.5
Indiana,Greenville,82258,69129
Michigan,Fowler,82243,73620
Kansas,Moundridge,82235,69347
Maryland,Catonsville,82212.5,60861.5
Illinois,Lindenhurst,82196.5,72142.5
Washington,"N. Lakewood",82195,72796
Florida,"Green Cove Springs",82163,69487
Oklahoma,Mooreland,82139,61147
Illinois,Viola,82138,64363
"New Hampshire",Penacook,82095,72747
Michigan,Clarkston,82094,111391.6
Michigan,Delton,82092,300000
"South Carolina","Hilton Head Island",82064.8,125188.2
"North Dakota",Casselton,82054,72060
Missouri,Nixa,82053,66904
Connecticut,"North Branford",82036,76678
"New York",Whitesboro,82033,217046
"New Jersey",Hammonton,82032,300000
Pennsylvania,Glenside,82030,71839
Illinois,"Orland Park",82021,162112.6
Illinois,"Hickory Hills",82017.5,189106.5
Texas,Ponder,82007,69268
Ohio,Mayfield,82002,64644
"New York",Otisville,81998.5,190680
"New Jersey",Newfield,81965,72623
"North Dakota","South Heart",81949,69619
Utah,Tooele,81939.5,177141
Texas,Muenster,81928,73512
Texas,Hurst,81920.3,219420.3
Wisconsin,Waupun,81905,74179
"New York",Monsey,81902.5,66653.5
"North Carolina",Hillsborough,81891,62814
"North Carolina",Knightdale,81874.5,190030.5
Arizona,"Fountain Hills",81844.5,71744.2
Florida,"Satellite Beach",81821,300000
"New York",Baldwinsville,81783.3,150182
"New York",Yonkers,81780.4,132785.7
Illinois,Warrenville,81778,69042.5
Michigan,Dorr,81771,80439
Washington,"Brush Prairie",81760.7,220863
Alaska,Sterling,81749,70749
California,"South Lake Tahoe",81722.3,156143.2
Nebraska,Hildreth,81722,62085
Virginia,Goodview,81712,66665
"North Carolina",Newport,81710.2,177047.8
Delaware,Claymont,81708,74601
"West Virginia",Pickens,81695,300000
"New York",Brentwood,81673.5,72312.2
Nevada,Ely,81646,68338
Texas,"Cedar Creek",81606,300000
Georgia,Mansfield,81606,68054
Ohio,Chardon,81605.5,184353.2
Oregon,Estacada,81581,72731
California,Martinez,81559.4,104799
Michigan,Livonia,81551.9,112382.1
"New York","Long Island City",81550.4,93335.3
Connecticut,"Beacon Falls",81536,79863
Colorado,Carbondale,81522,142501.7
"New Jersey",Clifton,81500.2,159497.5
Illinois,Brookfield,81479,187775
Washington,Poulsbo,81463.7,68589.3
Illinois,Skokie,81455.3,72934.7
Pennsylvania,Avella,81454,68881
Washington,Ritzville,81437,64584
"New Jersey",Keyport,81435,69884
Pennsylvania,"Mount Wolf",81428,300000
"South Dakota",Renner,81424.5,190873.5
Vermont,Dorset,81414,80572
Connecticut,Bloomfield,81403.7,73610.3
Wisconsin,Franklin,81402.5,63965
"South Carolina","Little Mountain",81399,300000
Texas,Crandall,81393.7,68537.3
"New York",Sauquoit,81387,68552
Kentucky,Alvaton,81386,64723
Alaska,Skagway,81352,69886
"New Hampshire",Barrington,81351,52174
"New York",Stillwater,81341,300000
Washington,"Gold Bar",81325,72539
Texas,"Port Neches",81316,75028
Texas,"Tom Bean",81305,66791
Massachusetts,Hadley,81291,65805
California,"La Habra",81280.7,107664
Wisconsin,Rothschild,81263,80209
Texas,"Ben Bolt",81261,66295
"New York","Port Byron",81255,300000
Oregon,Warren,81250,300000
"New Mexico",Tijeras,81248,66327
Texas,Skidmore,81234,300000
Washington,Cashmere,81230,300000
Wisconsin,Ellsworth,81224,77111
Minnesota,Hallock,81214,67945
Michigan,Edwardsburg,81201,55822
Ohio,Milan,81178,300000
"New Hampshire",Exeter,81177.5,71420
Mississippi,Hurley,81144,58784
Texas,Addison,81139,70948
Ohio,Tontogany,81126,75011
Alabama,Alabaster,81118.3,149711.3
Arkansas,Sherwood,81117.7,75196
Texas,Euless,81106.9,136701.3
"New York",Saugerties,81106,71514
"New York",Newburgh,81097.2,69544
Virginia,"North Garden",81089,68330
Minnesota,Starbuck,81089,67504
"North Carolina",Highlands,81065,55410
"New Jersey",Williamstown,81062.6,165739
Nevada,Smith,81061.5,64600
Alabama,Wetumpka,81059,49903
Ohio,Waterford,81056,300000
Connecticut,Vernon,81050,71662
Iowa,Crescent,81049,78400
Massachusetts,Granby,81043,76168
"New Jersey",Rockaway,81034,300000
Michigan,Schoolcraft,81023,71281
California,"West Hills",81006.4,108682.6
Maryland,Sudlersville,81002,69128
Virginia,Culpeper,81000,171888.5
Alabama,Kimberly,80998,70230
Pennsylvania,Sharon,80975,59732
Minnesota,Oakdale,80946,300000
Ohio,Stow,80945,72348.8
Texas,Magnolia,80920.7,67091.3
Massachusetts,Middleborough,80881,72818
Connecticut,Unionville,80873,63233
Mississippi,Tylertown,80856,74410
Pennsylvania,"Willow Grove",80833.3,146970.7
"North Dakota",Belcourt,80827,300000
Georgia,Perry,80802,64217
Kentucky,"Park Hills",80775,84542
Texas,"La Vista",80772,57965.5
Arizona,Oracle,80766,72414
California,Menifee,80746.5,120042.8
Alabama,Harvest,80729,69225
Illinois,Oneida,80725,70077
Connecticut,Niantic,80710,64963
Pennsylvania,"East Petersburg",80695,300000
Georgia,Fayetteville,80686.3,70365.3
Virginia,Washington,80678,53747
Missouri,"Blue Springs",80676.2,68780.8
Ohio,Pickerington,80657,300000
Michigan,"Harrison Township",80649,71651
Minnesota,"Saint Francis",80648,67335
"New York","East Aurora",80647.5,66735
Indiana,Daleville,80646,72164
Maine,Freeport,80645,71131
Utah,Farmington,80641,70006
Connecticut,Manchester,80609.4,104157
California,Lodi,80606.1,90228.1
Minnesota,Annandale,80601.5,64370
Tennessee,Hixson,80588.3,136061
Texas,Taft,80574,75885
"New Jersey",Greenwich,80564,70491
Texas,Moulton,80553,59511
Florida,"Wesley Chapel",80551.5,121507.5
Florida,Trinity,80547,184826.5
Georgia,Tucker,80525.2,121566
"South Dakota",Hayti,80501,66594
Ohio,"Lewis Center",80500.5,62217
Texas,Midlothian,80497.8,132270.2
California,Claremont,80489,75939
"New York",Copenhagen,80474,69072
Texas,Danbury,80461.5,74429
Pennsylvania,Blandon,80440.5,189309
Oregon,Hillsboro,80437.5,145622.5
Washington,Marysville,80430,165234.7
Ohio,Northfield,80420,300000
"New Mexico",Tatum,80419,300000
Massachusetts,Ludlow,80398,300000
Vermont,Richmond,80395,69973
Michigan,"Whitmore Lake",80383.5,65641.5
Louisiana,Berwick,80366,68375
Colorado,Aspen,80365,62911
Texas,Pattison,80341,166387.5
Oregon,"Hood River",80334,300000
Texas,"Glen Rose",80334,69878
California,Buellton,80327,71623
Illinois,Homewood,80326,77630
Illinois,Pawnee,80321,62670
Michigan,Temperance,80307.5,67794
Texas,Austin,80293.6,100559.8
"New York","North Rose",80282,69335
"New Jersey",Elmer,80261,73055
"New Jersey",Elwood,80252,66806
Iowa,"Middle Amana",80243,300000
Tennessee,"Cross Plains",80231,67939
California,"Rohnert Park",80212.2,156059.2
California,"Grizzly Flat",80195,32216
Maryland,Hyattsville,80181.9,72398.8
"New Hampshire",Rollinsford,80179,62678
Mississippi,Brandon,80178.7,69077.7
Ohio,London,80169,186600.5
Pennsylvania,Slatington,80157,175530
Iowa,"North Liberty",80156,72548
Massachusetts,Randolph,80143,186804
Pennsylvania,"East Prospect",80131,61965
Maryland,Newark,80127.5,187154.5
Illinois,Bloomingdale,80102.5,73019
Oklahoma,Owasso,80072.3,142601
Indiana,Leo,80070,300000
Ohio,"Tipp City",80070,65407
Illinois,Streamwood,80064.3,148907
"West Virginia",Hurricane,80061.7,72026
Pennsylvania,"Glen Rock",80060,178829.5
Maine,Saco,80054,69840
Massachusetts,Cambridge,80046.1,74773.7
"New York",Vestal,80043,172766.5
Alaska,Sitka,80041,59519
Virginia,"King William",80029,73144
Virginia,Forest,80028,66580
Maryland,Conowingo,80025,76355
California,Creston,80023,74870
Massachusetts,Ashland,80009,300000
Louisiana,"Des Allemands",80007,51357
Massachusetts,Rockport,80000,57795
"New Jersey",Stillwater,79981,300000
"New York",Hilton,79979,71919
Pennsylvania,Shanksville,79969,68913
Alaska,Fairbanks,79965.2,177972.1
Iowa,Stanton,79958,300000
Maine,Woolwich,79956,60124
Arizona,Sedona,79936.5,182377
Texas,"North Richland Hills",79921,71247.8
Pennsylvania,Croydon,79920,186617
Colorado,Westminster,79896,99528.4
"New Jersey",Chatsworth,79895,67064
Ohio,Bellbrook,79893,68121
Texas,"Blue Ridge",79883,68382
Maryland,"Glen Burnie",79881.8,71798.9
Michigan,"Shelby Township",79871,71120
Wisconsin,Marathon,79870,74029
Georgia,Waleska,79863,71145
Washington,Joyce,79849,74566
Illinois,Mazon,79848,63001
Illinois,Lexington,79829,64780.5
Connecticut,Pawcatuck,79825,58129
"New York","Staten Island",79823.5,98102.2
Pennsylvania,"Spring City",79795,71679
Massachusetts,Ashfield,79780,62524
Minnesota,"White Bear Lake",79777.3,98913.8
Illinois,Caseyville,79764,72195
Texas,Kaufman,79760,63539
"New Jersey",Hackettstown,79758,300000
"New Jersey",Linden,79757,66324.2
California,Exeter,79757,65645
Maryland,Middletown,79729,56218
Minnesota,"Forest Lake",79726.5,75456.5
Virginia,Williamsburg,79716.6,107556.2
Illinois,Kirkland,79713,69884
Wisconsin,Wauwatosa,79684.7,67519
Wisconsin,Jackson,79683,71755
Texas,Bedford,79670.7,141465.7
Louisiana,Zachary,79647,186618
Hawaii,Kahuku,79621,57803
Wisconsin,Waukesha,79615,129297
Nebraska,Lodgepole,79595,300000
Massachusetts,Sturbridge,79570,57130
Washington,Vashon,79566,300000
Wisconsin,Waupaca,79556.5,70162.5
Maryland,"New Carrollton",79554.5,64324
Wisconsin,Bristol,79548.5,70067.5
"New York",Fishkill,79533,68863.5
Ohio,"South Vienna",79503,75445
Wyoming,Sinclair,79492,79761
Wyoming,Douglas,79488,77614
Michigan,Clawson,79463.5,66793
"New Hampshire","Ctr. Barnstead",79446,300000
Connecticut,"North Grosvenor",79434,68493.5
Pennsylvania,Beaver,79427,69121
Pennsylvania,Media,79427,59621.7
California,Fullerton,79418.5,174472.5
Ohio,Springboro,79409,70709
"New York",Selkirk,79396,64043
Illinois,Broadview,79374,59028
"New York",Beacon,79365,140743.7
California,Chico,79356.4,107537.7
Texas,Burton,79338,58547
Wisconsin,Stockbridge,79335,67296
Illinois,Manhattan,79334,64788
Illinois,Highwood,79326,64282
Utah,Kamas,79315.5,67941
"New York",Chittenango,79311,66834
Michigan,Kimball,79290.5,173373
Maryland,Beltsville,79275,65108.7
Pennsylvania,Souderton,79270,56242.5
"South Carolina",Simpsonville,79264.2,68037.7
Michigan,Davison,79261.2,178294.8
California,Strathmore,79255,51332
California,Angwin,79252,66968
Pennsylvania,Holtwood,79224.5,68756
Georgia,Rex,79222,300000
Pennsylvania,Shohola,79216,181817.5
California,Sunland,79207,169213
Pennsylvania,Denver,79187.7,145238
Louisiana,Metairie,79158.8,100333.1
Minnesota,Cologne,79155,79748
"North Carolina",Kernersville,79150.8,155046.6
Illinois,Breese,79136.5,70390
Massachusetts,Boston,79133.1,59771.9
Wisconsin,Dousman,79132,63826
Pennsylvania,Royersford,79119,68711.5
Connecticut,Terryville,79117,300000
Maryland,Westminster,79110.3,63251
"New Jersey",Totowa,79081,73393
Louisiana,Norco,79070.3,69341.7
"New Jersey",Atco,79064.5,180646
Louisiana,Maurepas,79061,57753
Iowa,Grimes,79034,69413
Pennsylvania,"Picture Rocks",79025,67985
Virginia,Broadway,79021,68618
Colorado,Edgewater,79018.5,195919.5
Minnesota,Hayfield,79013,69542
"New York",Hamburg,79009.2,69968.4
"New York","Pine Plains",79003,69599
Pennsylvania,Whitehall,78997,300000
Michigan,"Grand Haven",78959.3,63284.3
Florida,"St Augustine",78954.6,130284.9
Ohio,Brunswick,78949,73287.2
Tennessee,Sewanee,78940,71304
Kansas,"Ft. Riley",78930,73386
Minnesota,Morristown,78913,65519
Maine,"South Bristol",78904,53313
Illinois,"Rolling Meadows",78900,61760.5
Wisconsin,"De Forest",78900,72466.5
Pennsylvania,Conestoga,78895,65387
Utah,"Salt Lake City",78847.6,105993
Oregon,Dundee,78847,67241
"New Jersey",Oaklyn,78820,70881
"New Jersey","Union Beach",78814,70364
California,"Pauma Valley",78807,81325
Indiana,Newburgh,78806.2,116946.5
"South Dakota",Iroquois,78796,300000
Ohio,Ottawa,78795,300000
"New York",Apalachin,78790,63975
Florida,Crestview,78789.5,179915
Alabama,Russellville,78787,48388
Louisiana,"Dry  Prong",78771,66444.5
Montana,Ulm,78770,83641
Minnesota,Nicollet,78769,68492
Pennsylvania,Drums,78768,300000
Pennsylvania,"Clarks Summit",78766,68534
Mississippi,Clinton,78748,194508
Vermont,"South Hero",78704,63655
California,"Signal Hill",78694,67597
"New York","Ballston Spa",78689.5,191173
"New Hampshire",Durham,78689,57940
Colorado,Eaton,78677,300000
Illinois,Williamsville,78659.5,72519
Kentucky,Morehead,78653,62003
California,Litchfield,78642,62733
Wyoming,Diamondville,78640,70752
Minnesota,Shoreview,78639,74364
Missouri,Raymore,78631,300000
California,"Bay Point",78622.5,161086
Texas,Poth,78608,61666
"New York","Penn Yan",78604,68498
Missouri,"Wright City",78581,180798.5
Alaska,Petersburg,78533.5,66845.5
Iowa,Emmetsburg,78522,70318
Texas,Pleasanton,78521,68860
"New York","Pleasant Valley",78504,69720
Massachusetts,Peabody,78500.2,64093.6
Ohio,"North Canton",78496.7,139689.7
Utah,Roosevelt,78481,71182.3
Texas,Nash,78469,73956
California,Glendale,78447.1,92637.7
Florida,Alachua,78442.5,65954.5
Arizona,"Sierra Vista",78433.2,102620.6
Kentucky,Hiseville,78432,61078
California,Oakley,78430.5,67823
Ohio,Anna,78428,300000
Hawaii,Lahaina,78416,68503.5
"New York",Aurora,78412,65044
Virginia,Churchville,78411,62335
Alabama,Chelsea,78399,71839
Washington,"Bonney Lake",78397.5,73587
Washington,Rockford,78389,65810.5
Texas,Jarrell,78386,300000
Minnesota,"North Branch",78346,73076
Missouri,Union,78320,68999
Florida,"Land O Lakes",78316.3,63732.3
Alabama,Hartselle,78301,57511
Florida,Jupiter,78286,111896.9
Virginia,Halifax,78282,69308
Texas,Bullard,78281,64933
"New York","Middle Village",78277.8,125723.8
Arkansas,Cabot,78277,68846
Texas,Woodway,78264.2,130570.2
Massachusetts,Westport,78260,66782
Utah,Taylorsville,78259.7,146144
Kentucky,Bellevue,78257,53934
Iowa,"Cedar Rapids",78246.5,92919.7
Michigan,Fowlerville,78232,65102.5
Illinois,"Round Lake Beach",78207,64544
"North Dakota","New Rockford",78205,62066
Minnesota,"Blue Earth",78201,65767
Colorado,Weldona,78180,73024
California,Cambria,78162,60687
Illinois,"Wood Dale",78161.5,67559
Michigan,"Grosse Ile",78148,59281
"South Carolina",Clinton,78146,172424.5
Utah,Willard,78134,72060
California,"Paso Robles",78132.7,66488
Michigan,"Allen Park",78132.3,143506.7
Maryland,Pittsville,78128,300000
"South Carolina",Hollywood,78102,61462
Georgia,Dallas,78098.8,69145.2
Washington,Lynnwood,78088.7,114597.1
Maryland,"Clear Spring",78082.2,115305.2
Texas,Columbus,78057,300000
Texas,Seminole,78019,59120
"New York",Camillus,78017,62628.7
Maine,Wells,78017,60396
Florida,Riverview,78014,66973.3
Washington,Arlington,78008,134394.7
"West Virginia",Stanaford,78008,42993
Michigan,Farmington,78006.5,65786.5
Minnesota,"Rush City",78003,68702
Wisconsin,"Howards Grove",78002,70649
Oregon,Ashland,77999,144948
Ohio,Streetsboro,77998,62921
Colorado,Longmont,77983.2,64811.8
Georgia,Stockbridge,77978.5,189530.8
Florida,"Cocoa Beach",77971.3,134443.3
Florida,"Rotonda West",77971,63223
Alabama,"Dauphin Island",77948,67225
California,Duarte,77921.2,71209
Nebraska,Malcolm,77908,71195
"New York","Saint Albans",77902,180581
Minnesota,"Le Center",77902,72396.7
"South Dakota",Mellette,77897,59762
Delaware,Smyrna,77888,66535
Ohio,Twinsburg,77880.3,70785
Illinois,"New Berlin",77859,61750
Arizona,"San Tan Valley",77859,184225.5
Illinois,Bensenville,77847.5,182811
Illinois,Tolono,77819,69589
Kansas,Allen,77801,61574
Kentucky,Brandenburg,77790,69499
Minnesota,"Elk River",77788,51156
Missouri,"University City",77778,60211.3
Florida,Clermont,77772.3,68765
Virginia,"Virginia Beach",77764.6,114946.3
Pennsylvania,Quarryville,77762,300000
Iowa,Decorah,77761.5,64308
"New York",Potsdam,77751,180197
Iowa,Moville,77747,66841
Indiana,Fillmore,77737,63749
Minnesota,Superior,77737,54442
California,"El Cajon",77735.2,101859.9
Utah,Mendon,77728,179300
Pennsylvania,Hellertown,77726,57677.5
Massachusetts,"North Dartmouth",77717,73608
Oklahoma,Yukon,77710.4,206444
Missouri,Arnold,77710,221371.3
Indiana,Highland,77704.3,68902.7
"New Hampshire",Concord,77695.7,66933.7
Texas,Portland,77695,300000
Michigan,Portage,77675,148520.8
California,Sylmar,77652.3,66681.3
Texas,Andrews,77651,300000
"New Jersey",Avenel,77648,62248.7
Nevada,Duckwater,77643,72359
California,"Chula Vista",77633.4,69186.7
Florida,"Royal Palm Beach",77632,104240.8
Texas,Grapevine,77607,66852.3
Colorado,Durango,77593,178609
Georgia,Snellville,77589.1,139809.4
"West Virginia",Morgaantown,77570.5,179147
Pennsylvania,"Pocono Pines",77570.5,57797
Georgia,Taylorsville,77568,72564
Illinois,Lockport,77557.6,65961.2
Maryland,"Ft Meade",77556,64319
Utah,Clinton,77538.5,184040
Washington,Brewster,77531,71667
Ohio,Whitehouse,77530,300000
Illinois,Morton,77526.5,66794
"New Jersey",Hackensack,77505,63169.2
Ohio,Bedford,77500.2,119477.8
Maine,Veazie,77493,55918
California,"Bermuda Dunes",77483,61564
Kansas,Maize,77470,300000
Wisconsin,"Fall Creek",77453,69935
Florida,"Lake Park",77452,66005.5
"New York",Selden,77438,71351
"New Jersey",Raritan,77418,60976
Ohio,East,77402,75767
Iowa,"Cedar Falls",77382.4,116609.6
Texas,"New Braunfels",77380.6,126578.6
Washington,Monroe,77355.5,68966
Florida,"Tarpon Springs",77355.2,171747
Illinois,Roscoe,77349,300000
"New Jersey","National Park",77349,68257
Louisiana,Homer,77337,300000
Oregon,Beaverton,77326.4,130753.6
Alabama,Higdon,77322,45128
"New Jersey","North Middletown",77315,300000
"North Carolina",Fairview,77301,54918
"New Jersey","Jersey City",77297.1,66250.4
Massachusetts,Auburn,77291,60190
Utah,Wellsville,77285,300000
Michigan,Southfield,77278.7,118724.1
Illinois,Smithton,77274,300000
Iowa,Stuart,77269,300000
"New Jersey",Delran,77256,72611
Florida,Brandon,77236,91728.2
Maryland,"New Windsor",77234,73780
Wisconsin,"Menomonee Falls",77220.8,70359.6
Illinois,Danvers,77214.5,67105.5
Florida,"Vero Beach",77203.2,81125.8
"North Dakota",Parshall,77202,67087
Indiana,Westfield,77200.5,60696.5
"New York","Richmond Hill",77196.8,64112.2
Utah,"West Jordan",77193.9,129631.9
Washington,Eatonville,77192.5,64097
Utah,"Brigham City",77187,300000
Texas,Lindale,77187,70724
Ohio,Gahanna,77184.8,184726.5
Colorado,Loma,77181,76289
Nebraska,Arlington,77179,62428
"New York","Bolton Landing",77174,300000
"New Jersey","West Deptford",77161,64167
Virginia,Madison,77154,60198
"New Hampshire",Nelson,77114,70063
Ohio,Proctorville,77114,61559
Pennsylvania,"West Grove",77111.5,210937
California,"Penn Valley",77092,54433
Alabama,Boaz,77080,60413
"New Jersey","Gloucester City",77073,54663
Wisconsin,Franksville,77070,73088
Ohio,Perry,77063,66123
"New Jersey",Ventnor,77052,68271
California,"San Lorenzo",77037.5,100609.7
Massachusetts,"West Springfield",77029,75808.5
Utah,Lehi,77015.2,244590.2
Oregon,Colton,77006,67421
Maryland,"Havre De Grace",76992.7,224698.7
Minnesota,"Grand Rapids",76989.7,69720.7
Indiana,Nappanee,76984,66710
Tennessee,Millington,76974.5,181944.5
"North Carolina","Cape Carteret",76948,63139
Connecticut,"Old Greenwich",76944,66208
Utah,Milford,76943.5,67701
Louisiana,Livonia,76933,71201
Massachusetts,Taunton,76927.2,120489.8
Minnesota,Waconia,76923,60271
Illinois,Alhambra,76916,67163
Pennsylvania,Hamburg,76912,76323
Florida,Shalimar,76907.5,66813
Oregon,"Oregon City",76906.4,67771.8
California,Artesia,76899,63793
Minnesota,"New Richland",76897,64712
California,"Mt. Baldy",76889,57383
Massachusetts,Upton,76887,57452
Alaska,Homer,76885,59124
California,Winters,76882,47925
Texas,Needville,76875,61829
Arizona,Lakeside,76871,66584.5
Texas,Waxahachie,76861.8,133111.2
Texas,Paradise,76843,62292
Vermont,Marlboro,76842,72257
